Burger Name,Burger Description,Restaurant,Price,Year,Beef,Chicken,Duck,Lamb,Pork,Seafood,Venison,Vegetarian,Sweet,Not Your Usual,Finalist,Winner
The Happy Burger,"Harrington’s beef and bacon patty with housesmoked cheese and Rocket Fuel sauce in a toasted Pandoro milk bun, with fries cooked in beef tallow",Food for the People,$16.00,2018,Yes,,,,,,,,,,,
Totally Fermental,"Beer-braised beef brisket with kimchi, labneh and sweet and spicy pickles in a Brezelmania bun, with hop-salt fries and beer aioli",Fork & Brewer,$22.00,2018,Yes,,,,,,,,,,,
Piggy in the Middle,"Strathmore Butchery pork and horopito sausage with apple, fennel and lime chutney, slaw, and mayo in a Zaida's Bakery milk bun, with rustic chips",Foxglove Bar & Kitchen,$22.00,2018,,,,,Yes,,,,,,,
Oh Deer It's Kina Good,"Wild venison and kina pâté with smoked onion jam and free range fried egg in a beetroot buttermilk bun, with rosti nuggets and creamy pāuā sauce",FRANK'S Terrace,$20.00,2018,,,,,,,Yes,,,,,
Che Burger,"Beef patty with fried egg, cheese and chimichurri mayo in a housemade bun, with fries",Franziska,$17.00,2018,Yes,,,,,,,,,,,
Italians Can Do Burgers Too,"Primestar™ Beef and Zany Zeus ricotta patty with beetroot chutney, pancetta and Zany Zeus smoked brinza in mini focaccia, with truffled Parmesan fries",Fratelli,$22.00,2018,Yes,,,,,,,,,,,
Lil Piggy Went to Glasshouse,"Pulled pork with apple rosti, slaw, caramelised onions, streaky bacon and Cheddar, with handcut fries and apple gravy",Glasshouse Bar and Grill,$19.00,2018,,,,,Yes,,,,,,,
The Local,"Southern Louisiana-style smoked brisket with jalapeño slaw, gouda and housemade spicy BBQ sauce in a Greytown French Baker bun, with fries",Greytown Hotel,$20.00,2018,Yes,,,,,,,,,,,
Piggy McPigface,"Beef patty with Sriracha-candied bacon, bacon marmalade, bacon and pickle aioli and feta whip in a Pandoro bacon bun, with fries",Grill Meats Beer,$25.00,2018,Yes,,,,,,,,,,,
Moroccan Lamb,"Moroccan spiced lamb shoulder with whipped feta, mint, beetroot and harissa on an Arobake potato bun, with eggplant chips and hummus",Henry Pollen's,$22.00,2018,,,,Yes,,,,,,,,
Beery Had a Lotta Lamb,"Heyday beer-braised Wairarapa lamb shoulder, with rocket, berry compote and minted aioli in an Arobake milk bun, with roast potatoes and Heyday gravy",Heyday Beer Co,$20.00,2018,,,,Yes,,,,,,,,
#ThatKidInClassHasAParty,"Beef patty with Kingsmeade cheese, potato crisps and saveloy, with fries and a fairy bread milkshake on the side.",Hillside Kitchen & Cellar,$20.00,2018,Yes,,,,,,,,,,,
Le Petit Déjeuner,"Chorizo and black pudding patty with a frittata, and tomato chutney in a Clareville Bakery brioche bun, with hashbrown tots and mustard aioli",Hippopotamus Restaurant,$26.00,2018,,,,,Yes,,,,,,,
Double Trouble,"Adobo beef patty with bak kwa jerky, pineapple achar, confit lime mayo in a housemade milk bun, with kūmara crisps and Sriracha mayo",Hot Sauce,$21.00,2018,Yes,,,,,,,,,,,
Fat Tuesday,"Fried chicken with BBQ chilli sauce, pickles, ham hock and okra gumbo and pickled slaw in a Brezelmania milk bun",HUSK Bar & Eatery,$20.00,2018,,Yes,,,,,,,,,,
J.H. Hooley Burger,"Dijon beef patty, Island Bay Butchery pork sausage with Kāpiti Pakari smoked Cheddar and salad in a bun, with onion rings and fries",Jack Hackett's Irish Pub,$22.00,2018,Yes,,,,,,,,,,,
Firecracker,"Breaded spicy chicken fillet in aromatic rendang paste with grilled pineapple, lettuce, tomato and red onion in a milk bun, with beer-battered fries",Juniper Restaurant & Bar,$20.00,2018,,Yes,,,,,,,,,,
Big Fella,"Steak patty with kaffir lime leaves, salad, fish sauce dressing, pickled carrot and scrambled eggs, with steak sauce",K&K FOOD CARAVAN,$18.00,2018,Yes,,,,,,,,,,,
High Society Burger,"Hemp and curried lentil patty in an Arobake poppy seed bun with butterhead lettuce, tomato, avocado and beetroot raita, with aloo bonda",Kanteen,$19.00,2018,,,,,,,,Yes,,,,
Matariki Ahunga Nui,"Smoked pork belly, watercress and horopito hollandaise in kūmara fried bread, with kūmara bites and chipotle mayo",Karaka Café,$20.00,2018,,,,,Yes,,,,,,,
Rosy Cheeky Lamb Burger,"Lamb, blue cheese, smoked beetroot and homemade pickles in an Arobake paprika bun, with seasoned chips",Kelburn Village Pub,$20.00,2018,,,,Yes,,,,,,,,
Ika Tikka Light,"Tikka marinated white fish with iceberg, in a paratha with pickled cucumber and mango chutney, with sweet potato fries",Khandallah Trading Company,$23.00,2018,,,,,,Yes,,,,,,
The Perfect Game,"Crispy buttermilk fried chicken with kimchi, salted cucumber, spring onion, and chilli mayo in a Zaida's Bakery milk bun, with shoestring fries",Lanes Bar and Bowling,$20.00,2018,,Yes,,,,,,,,,,
Eye Of The Tiger,"Trang Province-inspired Pirinoa beef patty with feisty Thai spices, in a Zaida's Bakery bun, with trimmings",Laundry,$19.00,2018,Yes,,,,,,,,,,,
Le Coq Au Vin,Red wine-braised chicken thigh with bacon and pickled mushroom chutney in a toasted potato bun,Le Samouraï,$20.00,2018,,Yes,,,,,,,,,,
The Ghost of Zorro,"Pork chorizo patty with mango chutney, Kāpiti Smoked Havarti cheese, saffron aioli and rocket in a Zaida's Bakery squid-ink bun, with dirty fries and gravy",Leroy's Bar,$22.00,2018,,,,,Yes,,,,,,,
Le Coq in a Bun,"Spiced crispy chicken with field greens, pepper aioli, mango chutney and smoked pig on Zaida's Bakery mini focaccia, with frites",Leuven Belgian Beer Café,$20.00,2018,,Yes,,,,,,,,,,
Cluck The Police,"Nashville fried chicken, manuka honey bacon brittle with pickles, celeriac remoulade and blue cheese dressing, with truffled fries",Little Beer Quarter,$23.00,2018,,Yes,,,,,,,,,,
Wagyu Marrow Me,"Wagyu and smoked bone marrow patty with aged cheddar, onion rings and prosciutto in a Pandoro bun, with handcut fries",Logan Brown Restaurant,$26.00,2018,Yes,,,,,,,,,,,
Shakabra,Raw marinated yellow fin tuna with soy and sesame wild rice and a tempura topper,Lola Stays,$23.00,2018,,,,,,Yes,,,,,,
Breakfast for Dinner,"Chicken with maple-candied Waikanae Butchery bacon, Kāpiti smoked Havarti cheese, Pickle & Pie pickles and Lucky sauce in a waffle bun, with gravy fries",Lucky,$20.00,2018,,Yes,,,,,,,,,,
Summer is Coming,"Pulled pork in Kansas BBQ sauce with pickled cabbage and apple slaw, lettuce and apple mayo in a Zaida's Bakery milk bun, with fries",Lucky Strike Beer and Brisket,$20.00,2018,,,,,Yes,,,,,,,
The Pineapple Express,"Preston's smoked huli huli chicken, fresh pineapple mustard, Szechuan pickles and kava mayo in a Pandoro bun, with fries",LuLu,$25.00,2018,,Yes,,,,,,,,,,
17 Days of the Dead,"Chipotle pulled pork, apple and red cabbage pickle, corn chips and Cheddar in a Brezelmania chilli corn bun, with shoestring fries and spicy gravy",Mac's Brewbar,$22.00,2018,,,,,Yes,,,,,,,
Beached As Burger,"Pork, fennel and black pudding patty, cavolo nero, salsa verde, celeriac remoulade, and cucumber and fennel pickle, with red capsicum and jalapeño relish in a Shelly Bay Baker brioche bun, with tempura onion rings",Maranui Café,$22.00,2018,,,,,Yes,,,,,,,
The Vegan Bus is Coming,"Beetroot, black bean, quinoa and kale patty with mushroom sauce and vegan cheese in a hemp seed bun, with crispy kale chips and roasted chickpeas",Marine Parade Eatery,$22.00,2018,,,,,,,,Yes,,,,
Fried Chicken Torta,"Fried chicken torta with chipotle mayo, hot sauce, red slaw, jalapeño crema and citrus-cured onion in a bun smothered in salsa de ajo",Mexico,$17.00,2018,,Yes,,,,,,,,,,
Heart in the Right Place,"Crunchy chicken thigh, chicken liver pâté, BBQ chicken hearts and fried banana in a bacon bun",Milk & Honey,$19.00,2018,,Yes,,,,,,,,,,
Sheep Thrills,"Pulled lamb shoulder with housemade harissa, Peka Peka spinach and grain salad in an Arobake bun, with kūmara crisps",Ministry of Food,$22.00,2018,,,,Yes,,,,,,,,
Texas Mule,"Texas-style smoked brisket, cactus and iceberg slaw and peach relish in a ciabatta bun, with handcut fries",Miramar Gasworks,$23.00,2018,Yes,,,,,,,,,,,
The Firestarter,"Pulled beef cheek and beer-spiked fondue sandwiched in a Zaida's Bakery milk bun, with a shot of the hot stuff.",Mishmosh,$18.00,2018,Yes,,,,,,,,,,,
Son of Siam,"Thai coconut-glazed tandoor fish with lettuce, lemongrass and coriander mayo, and lime-pickled cucumber in an Arobake bun, with spiced crisps",Monsoon Poon,$19.00,2018,,,,,,Yes,,,,,,
Block Party,"Falafel patty with onion bhaji, borscht salsa, Zany Zeus Smoked Brinza and tzatziki on Asian slaw in an Arobake pumpkin brioche bun, with kūmara bravas",Moon 1,$17.00,2018,,,,,,,,Yes,,,,
Holi Sheep,"Indian-style mutton, Zany Zeus yoghurt and herb marinade, piko piko salsa and green chilli sambal in a rewena-style bao, with lamb fat fried chips",Mr Go's,$20.00,2018,,,,Yes,,,,,,,,
Tuk Tuk Tarakihi,"Prawn floss and kaffir lime-crumbed tarakihi with bean sprout, peanut and coconut salad, herbs and Sriracha mayo in a Pandoro squid-ink bun",Mt Vic Chippery,$14.00,2018,,,,,,Yes,,,,,,
Die Königin Burger,"Seasoned chicken breast with Swiss cheese, bacon, greens, avocado, cranberry and Bavarian mayo in a Brezelmania bun, with handcut fries",München,$21.00,2018,,Yes,,,,,,,,,,
Stag Do,"Venison patty with bacon, jalapeño and blue cheese sauce, slow-roasted roma tomato and cos lettuce, in an Arobake brioche bun, with roast vegetable crisps",Neo Café & Eatery,$20.00,2018,,,,,,,Yes,,,,,
The Sip and Dip,"Chargrilled beef patty, streaky bacon, Kingsmeade Riversdale pecorino and buttermilk fried courgette in a potato bun, with onion dip",Olive,$20.00,2018,Yes,,,,,,,,,,,
Mighty Ducks,"Pulled duck with crispy skin and pâté, giardiniera pickles, endive and saffron aioli in a housemade Italian milk bun, with duck fat fries",Ombra,$21.00,2018,,,Yes,,,,,,,,,
Peking Party Bird,"Slow-roasted pulled duck, mulled wine and orange marmalade, and chilli peanut slaw in a brioche bun, with a bird's nest of wonton crisps",One Fat Bird,$23.00,2018,,,Yes,,,,,,,,,
Always Better,"Preston's Grass Fed Girls lamb patty with tzatziki and cheese in a Clareville Bakery beetroot brioche bun, with Moroccan finger fries",One80 Restaurant,$24.00,2018,,,,Yes,,,,,,,,
Smoky Sweet Cheeks,"Pōhutukawa-smoked pork jowls, with Sichuan pepper slaw and plum ketchup in a spent grain bun, with fries",Panhead Custom Ales,$22.00,2018,,,,,Yes,,,,,,,
Life & Seoul of the Party,"Korean fried chicken and kimchi in a homemade steamed bun, with fries",Park Kitchen,$20.00,2018,,Yes,,,,,,,,,,
L.B. Burger,"Duck confit with kale slaw, Portobello mushroom, pickled ginger and smoked cheddar in a brioche bun, with duck fat potatoes and black pepper aioli",Parrotdog,$23.00,2018,,,Yes,,,,,,,,,
Penthouse Burger,"Honey soy chicken patty with satay sauce, romaine lettuce and tomato, with kūmara fries",Penthouse Cinema & Café,$20.00,2018,,Yes,,,,,,,,,,
"Drip, Pickle and Dip","Roast New York strip loin with horseradish aioli on a salted pretzel bun, with dipping gravy and crinkle-cut fries",Pickle & Pie,$24.00,2018,Yes,,,,,,,,,,,
The Neapolitan,"Beef and pork ragù, pan-fried Neapolitan greens, fresh mozzarella and caramelised onions in a wood-fired pizza bun",Pizza Pomodoro,$18.00,2018,Yes,,,,Yes,,,,,,,
The E.M Hemingway,"Pork, beef and bacon burger with crispy hazelnut slaw, pickled onion rings and smoked tomato sauce, with bacon-dusted fries and gravy",Plum,$18.00,2018,Yes,,,,Yes,,,,,,,
Oriental Bayger,"Slow-roasted pork belly, streaky bacon, mango and pineapple salsa and homemade relish, with handcut fries",Pomelo Kitchen and Bar,$23.00,2018,,,,,Yes,,,,,,,
The Gate Crasher,"Scotty's cold smoked scotch fillet with Fix & Fogg Smoke & Fire peanut butter, pickles, Swiss cheese, lettuce, pickled onion rings and aioli in a Clareville Bakery bun, with fries",Portlander,$25.00,2018,Yes,,,,,,,,,,,
BBQ Burger,"Chargrilled beef patty, Prodigal Daughter ""porkstrami"", grilled raclette, iceberg lettuce, tomato and deep-fried pickles in a homemade bun, with handcut chips",Pram Beach,$24.00,2018,Yes,,,,Yes,,,,,,,
Got Beef?,"Beer-braised beef brisket patty with smoked Cheddar, habanero mustard and piccalilli in an Arobake brioche bun, with fries",Pravda Café and Grill,$22.00,2018,Yes,,,,,,,,,,,
Mary Had a Little Lamb,"Za'atar spiced lamb patty, honey-pickled beetroot, salad, feta cream and mint basil mayo on a brioche bun, with handcut fries",Queen of Jackson,$22.00,2018,,,,Yes,,,,,,,,
Kungfu Burger,"Chinese-style marinated chicken in a vegetable pancake, with crispy chips, beetroot, caramelised onion and hoisin sauce, with spicy fries",Red Hill,$18.00,2018,,Yes,,,,,,,,,,
Orange Dragon Bao,"Deep-fried chicken with Szechuan-style orange sauce, chilli sauce and Chinese-style vinegar salad in a handmade bao, with fries or fried kūmara slices",Red Mount,$18.00,2018,,Yes,,,,,,,,,,
Rub My Belly,"Slow-cooked pork belly with fresh rocket, pear and Kāpiti Kahurangi Creamy Blue aioli in grilled pide, with crackling","Robert Harris Café, Coastlands",$20.00,2018,,,,,Yes,,,,,,,
The Mama Mia Burger,"Lemongrass chicken with brie, cranberry chutney, garlic and chive kimchi mayo in a Pandoro poppy seed kaiser bun, with handcut fries",Rock Yard Restaurant,$20.00,2018,,Yes,,,,,,,,,,
Animal House Redux,"Beef and mustard patty with Sriracha-candied bacon, housemade sauce, smoked Cheddar and beer-battered onion rings in a Pandoro milk bun, with fries",Rogue & Vagabond,$20.00,2018,Yes,,,,,,,,,,,
Pidgin Pāuā Party Patty,"Pāuā, garlic and parsley patty with watercress and lemon aioli on a Kawakawa bun, with bonito salt house fries",Salty Pidgin,$28.00,2018,,,,,,Yes,,,,,,
The Drunken Italian,"Beef patty with air-cured bresaola, Ubriaco Rosso formaggi, lettuce and tomato on a Pandoro ciabatta bun with steak fries",Scopa,$23.00,2018,Yes,,,,,,,,,,,
Vegan Pork Burger,"Jackfruit and lentil sloppy joe patty, vegan Cheddar cheese and slaw in a turmeric bun with homemade pickles",Seize,$19.00,2018,,,,,,,,Yes,,,,
Goldburger,"Double beef patties, double soft cheese, lettuce, pickles, special sauce in a soft white Leeds Street Bakery buns, with crinkle cut fries",Shepherd,$18.00,2018,Yes,,,,,,,,,,,
Bulgogi Burger,"Korean bulgogi beef patty with daikon, pears, kimchi and cheese in a furikake bun, with spiral potato chips and sesame mayo",Sojourn Café & Bar,$20.00,2018,Yes,,,,,,,,,,,
Do or Doughnut,"Beef patty, coffee and Huffman's chilli aioli with Prodigal Daughter bacon, pickles and cheese in a glazed doughnut bun, with horopito fries",Southern Cross Garden Bar Restaurant,$25.00,2018,Yes,,,,,,,,,,,
Are You Being Surfed?,"Whitebait fritter, prawn cocktail salad, chorizo, and buffalo tomato salsa in a Pandoro lemon and chilli milk bun, with fries",Spruce Goose,$25.00,2018,,,,,,Yes,,,,,,
Smoky Johns Sandwich,"Aged Angus beef patty with double-smoked bacon, tomato relish, vintage Cheddar and black pepper mayo in a Zaida's Bakery bun, with fries",St Johns Bar,$23.00,2018,Yes,,,,,,,,,,,
Dip & Drip,"Roast lamb shoulder, ‘cauliflower cheese’ cheese, mint sauce and red onion in a housemade bun, with gravy and root vegetable chips",Sterling Woodfire Eatery & Bar,$25.00,2018,,,,Yes,,,,,,,,
Te Papa Matariki Burger,"Slow-roasted pulled pork and pūhā, crispy bacon, iceberg lettuce and chive mayo in a kūmara rēwena bun, with bread and butter frickle and fries",Te Papa Café,$18.00,2018,,,,,Yes,,,,,,,
Milk and Cheese,"Beef patty with fig and smoked bacon jam in a Pandoro milk bun, with raclette sauce and fried pickles",The Arborist Rooftop Bar & Eatery,$25.00,2018,Yes,,,,,,,,,,,
The Spicy Winston,"Andouille-spiced beef patty, Creole tomato ketchup, green leaves and Swiss cheese in a Pandoro bun, with handcut fries",The Backbencher Gastropub,$25.00,2018,Yes,,,,,,,,,,,
Party in your Mouth,"Crispy fried chicken with your choice of heat (from mild to extreme), on a Zaida's Bakery milk bun, with Zany Zeus ranch dressing and fries",The Bangalore Polo Club,$18.00,2018,,Yes,,,,,,,,,,
Fireworks Belly Burger,"Maple-glazed pork belly burger with firework slaw, pop-rocks and Sriracha mayo in a milk bun, with crinkle-cut fries",The Borough,$23.00,2018,,,,,Yes,,,,,,,
The Incredible Hulk,"Broccoli and pistachio patty with smoked vegan cheese, slaw, avocado, apple and kiwifruit salsa verde and herb aioli in a Pandoro spirulina bun, with beetroot crisps",The Botanist,$22.00,2018,,,,,,,,Yes,,,,
It's Not Our First Rodeo,"All beef patty, double American cheese, bacon, deep fried onion rings, jalapeños, BBQ sauce and mayo in a milk bun, with smoked salt fries and ketchup",The Bresolin,$28.00,2018,Yes,,,,,,,,,,,
The Leonardo de LAMBbrio burger - Just for EWE,"Duet of lamb with mint, aubergine, Zany Zeus feta, smoked tzatziki in a handmade bun, with kūmara fries",The Butcher and Brewer,$25.00,2018,,,,Yes,,,,,,,,
Queen V's Beefeater,"Beef patty with fruit chutney, Zany Zeus Smoked Brinza cheese and fresh greens in a seed bun, with handcut fries",The Cambridge Hotel,$18.00,2018,Yes,,,,,,,,,,,
The Roast with the Most,"Beef, sausage and bacon patty with bubble and squeak, cauliflower and Gruyère cheese sauce, and carrot crunch, with root vegetable crisps",The Churchill,$23.00,2018,Yes,,,,,,,,,,,
Chicky Chicky Wah Wah v.s. Decapod Davy & The King Prawn Kid,"BBQ chicken with sous-vide pineapple, bacon, spicy prawn cocktail and nam jim mayo in a Turkish bun, topped with tempura crab and BBQ chilli prawns",The Crab Shack,$28.00,2018,,Yes,,,,,,,,,,
Deer Mary,"Wairarapa venison patty with housemade whisky BBQ sauce in a Pandoro Scottish milk bap, with a prawn Bloody Mary and fried sweet potato",The Establishment,$22.00,2018,,,,,,,Yes,,,,,
Birds of the Feathers,"Ground turkey patty and smoked duck, topped with pâté and a smoked orange and cranberry relish in a bap, with stuffing pom-poms",The Featherston City Tavern,$22.00,2018,,,Yes,,,,,,,,,
Birthday Banger Burger,"Housesmoked pork kielbasa sausage patty with cumin Gouda and Fermentary sauerkraut in a Brezel bun, with fries and homemade ketchup",The Fermentery,$19.00,2018,,,,,Yes,,,,,,,
The Glazed Babe,"Manuka slow-roasted pulled pork, maple-candied bacon, housesmoked cheese in an apple-glazed doughnut, with seasonal vegetable crisps",The Glazed Babe,$22.00,2018,,,,,Yes,,,,,,,
The Doping Scandal,"Buttermilk fried chicken with Acme pickles, Kāpiti Kōwhai Gruyère and slaw in a Zaida's Bakery milk bun, with hot sauce syringe, fries and blue cheese ranch",The Green Man Pub,$24.00,2018,,Yes,,,,,,,,,,
Elk a Brother Out,"Wapiti elk patty with Kingsmeade Wairarapa Jack cheese and tamarillo chutney in a Clareville Bakery bun, with seeded Agria fries",The Hangar,$25.00,2018,,,,,,,,,,Yes,,
Rōpū Burger,"Cheese-stuffed beef patty, onion rings, housemade hop tomato sauce, cheerios, and Pencarrow Sauvignon-pickled cucumber, with Kiwi dip and handcut chips",The Hop Garden,$18.00,2018,Yes,,,,,,,,,,,
Release the Karaagen,"Spiced chicken karaage, shiitake mushroom gravy, shaved Parmesan, and pickled ginger aioli in a Pandoro milk bun, with nori chicken salt fries",The Hotel Bristol,$19.00,2018,,Yes,,,,,,,,,,
Shoulder Rub,"Dry-rubbed beef shoulder with Pimento cheese, buttermilk coleslaw and pickles in a housemade bun, with fries and a green tomato aioli",The Larder,$23.00,2018,Yes,,,,,,,,,,,
A Royal Gala,"Apple tarte tatin patty with panko-crumbed leche fritter, rhubarb and burnt cinnamon cream in a cinnamon spiced bun",The Library,$22.00,2018,,,,,,,,,Yes,,,
Smoking Gun,"Boerewors sausage with triple- smoked bacon, pulled pork, Swiss cheese, and slaw in a pretzel bun, with chilli tomato sauce and fries",The Offering,$20.00,2018,,,,,Yes,,,,,,,
The Tasty Grub Burger,"Smoked beef brisket in bourbon sauce in a Zaida's Bakery bun, with baby spinach, homemade tomato jam, crispy bacon and caper bits, with chunky fries",The Old Bailey,$18.00,2018,Yes,,,,,,,,,,,
Beef BAOger,"Vietnamese beef patty with green papaya salad, pineapple, roasted peanuts, homemade BBQ sauce and mayo in a bao bun, with house fries and aioli",The Old Quarter,$18.00,2018,Yes,,,,,,,,,,,
Don't Worry a-Bao it,Eastbourne Village Meats beef patty with cheese in a bao bun – a twist on the classic American cheeseburger,The Ramen Shop,$12.00,2018,Yes,,,,,,,,,,,
Lamburgini,"Moroccan-spiced lamb with Zany Zeus feta in a Zaida's Bakery milk bun, with pickles and shoestring fries",The Realm Bar and Bistro,$20.00,2018,,,,Yes,,,,,,,,
Till the Cows Come Home,"Smoked grain-fed beef brisket, taleggio cheese, smoked mushroom mayo, fried egg, rocket and red onion in a bun",The Salt & Wood Collective,$22.00,2018,Yes,,,,,,,,,,,
Masquerade Burger,"Spicy vegan 'sunfed chicken', slaw, beetroot aioli and pickles in a brioche bun, with crunchy parsnip crisps.",The Still Room,$23.00,2018,,,,,,,,Yes,,,,
Beef Wellington,"Wellington Beef fillet with duck parfait, prosciutto, mushroom, shallots and green beans in a Pandoro bun, with duck fat potatoes",The Tasting Room,$20.00,2018,Yes,,,,,,,,,,,
Dip-itty-do-dah,"Beef patty with bacon, smoked beetroot, fried pickles, onion dip and rocket in an Old Bakehouse bun",Thistle Inn,$20.00,2018,Yes,,,,,,,,,,,
Mexican Mussel,"Moana Pacific Mussel fritter with smoked bacon, habanero and corn salsa, and lime mayo in a Pandoro bun",Thorndon Chippery,$14.00,2018,,,,,,Yes,,,,,,
"All Turkey, No Bull","Turkey marinated in lemon and honey, with pear and blue cheese on greens in a brioche bun",Thunderbird Café,$20.00,2018,,,,,,,,,,Yes,,
PorKimchiPop,"Longbush pulled pork with kimchi mayo, chilli jam, slaw and pork popcorn, in a Leeds St Bakery smoked-chilli bun, with kimchi-salted handcut chips",Ti Kouka Café,$24.00,2018,,,,,Yes,,,,,,,
Burger au Croute,"A 'pie-burger' of beef patty and cheese in a pastry case, with beef-dripping fries and housemade fermented ketchup",Tinakori Bistro,$20.00,2018,Yes,,,,,,,,,,,
Sons Of Liberty,"Beef patty with maple-cured bacon, boston beans, housemade pickle and onion rings in a tea-baked bun, with handcut chips",Trade Kitchen,$20.00,2018,Yes,,,,,,,,,,,
Three Messy Pigs Go Party,"Panko-crumbed pork fillet, crispy pork belly and streaky bacon with fennel and apple slaw, chipotle mayo and BBQ sauce in a brioche bun, with fries",Trentham Mess Hall,$23.00,2018,,,,,Yes,,,,,,,
Spicy Lady of Maxims,"Lamb patty with pickled red cabbage, beetroot, salsa verde, pommes maxim and whipped goat’s cheese, in a housemade walnut bun, with triple cooked chips",Union Square at the Martinborough Hotel,$24.00,2018,,,,Yes,,,,,,,,
The Chapo Burger,"Pork and beef patty marinated in an ancho chilli, orange, garlic, chipotle and axiote paste with coriander and jalapeño mayo, and pickled onion, with fries",Viva Mexico Left Bank,$16.00,2018,Yes,,,,Yes,,,,,,,
La Cochinita Del Diablo,"Slow-roasted pork burger marinated Mayan-style with refried beans, habanero mayo and grilled pineapple in a traditional Mexican bun, with fries",Viva Mexico Newtown,$17.00,2018,,,,,Yes,,,,,,,
Mexican Milanesa Torta,"Breadcrumbed beef patty with a housemade tomato salsa, frijoles refritos, jalapeño mayo, avocado, and Oaxacan cheese, with fries",Viva Mexico Petone,$17.00,2018,Yes,,,,,,,,,,,
The Wild Buck,"Brie-stuffed venison and bacon patty with cherry salsa and mizuna in a brioche bun, with fryums",Vivant! Restaurant,$20.00,2018,,,,,,,Yes,,,,,
Kāpiti Coast Mardi Gras,"Kāpiti Coast po'boy of pan-fried fish, popcorn shrimp, battered mussels and salad in a homemade bun, with remoulade and fries",Waimea,$24.00,2018,,,,,,Yes,,,,,,
Funky Chick!,"Fried buttermilk chicken, Sriracha, pickles and salad in a homemade bun, with waffle wedges",Waterfront Bar,$22.00,2018,,Yes,,,,,,,,,,
The Four Cheeser Pleaser,"Beef patty, quadruple cheddars, char-grilled onions, pickles, smoky BBQ tomato relish, aioli and mustard in a bun, with crispy skin fries",Whitby CO-OP Bar and Kitchen,$23.00,2018,Yes,,,,,,,,,,,
Mao Khaang Burger,"Thai fish cake with cucumber, chilli, mint, quick pickle, and nam jim mayo in a grilled milk bun, with sweet chilli fries",Wholesale Boot Company,$22.00,2018,,,,,,Yes,,,,,,
The Hulk,"Pork and fennel patty with soy and Peri Peri aioli in a Japanese-inspired green brioche bun, with golden straight-cut fries and wasabi mayo",Willi's Kitchen,$18.00,2018,,,,,Yes,,,,,,,
Brewed to the Bone,"Smoked beef short rib with candied bacon and Zany Zeus boozy cheese sauce in an Arobake bun, with curly fries",Wilson Barbecue @ The Third Eye,$25.00,2018,Yes,,,,,,,,,,,
Blue Deer,"Wairarapa venison patty with Gorgonzola aioli, beetroot-orange relish and homegrown rocket, with triple cooked chips",Zibibbo,$25.00,2018,,,,,,,Yes,,,,,
The Peacemaker,"Crumbed chicken thigh with grilled onion rings, Jack Monterey cheddar and whiskey-smoked baconnaise in a housemade milk bun, with handcut fries (NF).",1815 Café & Bar,$20.00,2017,,Yes,,,,,,,,,,
Beauty and The Beast,"Spiced Angus beef patty with smoked cheese, ugli relish, cos, tomato, herbs, chilli and kaffir lime mayonnaise in a housemade nut and seed bun, with spicy root chips.",Apachè,$19.00,2017,Yes,,,,,,,,,,Yes,
Buck and Duck,"Wild venison burger with homemade pickles, tomato, lettuce and a fried duck egg in a beetroot bun, with truffle fries (NF, DF option).",Artisan Dining House,$25.00,2017,,,,,,,Yes,,,,,
The Cheese Musketeers,"Three cheese: Aged cheddar, Zany Zeus smoked brinza and mozzarella croquette patty, smoked chipotle relish, red cabbage slaw, green tea aioli and jalapeños in a Zaida's milk bun, with paprika fries (V, NF, Pesc).",Basque,$21.00,2017,,,,,,,,Yes,,,,
Hunt for the Wilderburger,"Braised wild boar, bush bacon, watercress, Kāpiti Pakari cheese, L&P BBQ sauce, pūhā aioli on a Clareville Bakery beetroot bun with herb-salted kūmara chips (NF, DF option).",Beach Babylon,$23.00,2017,,,,,Yes,,,,,,,
"Land, Forest & Sea","Horopito spiced fish, pūhā pesto, wild rocket, seaweed in a rēwena bun (DF, Pesc, NF).",Beach House & Kiosk,$19.00,2017,,,,,,Yes,,,,,,
Hāngī Pants,"Hāngī lamb, stuffing, kūmara and fresh watercress, with kawakawa aioli between two fried bread buns, with a side of garlic hāngī potatoes",Beach Road Deli,$18.00,2017,,,,Yes,,,,,,,Yes,
Buckwheat Bulgogi Burger,"Marinated 18 hour-braised bulgogi beef with gochujang mayonnaise and kimchi slaw, in a Clareville Bakery buckwheat bun",Beat Kitchen,$16.00,2017,Yes,,,,,,,,,,,
Hāpi Meal,"Smashed BBQ pork patty with smoked bacon, Garage Project Hāpi Daze-brined pickles and housemade American cheese in an Arobake milk bun with shoestring fries, Hāpi Daze battered chicken nuggets and mini soft serve.",Bebemos,$24.00,2017,,,,,Yes,,,,,,,
Lemon & Poultry,"L&P marinated chargrilled chicken with smoked kūmara purée, parsnip crisps and grilled chorizo and corn salsa, with shoestring fries (DF, GF option)",Bethel Woods,$21.00,2017,,Yes,,,,,,,,,,
Death From Above Burger,Garage Project Death From Above-braised alpaca loin with Brussels sprouts slaw and mango lime dressing in a Pasteleria Sans Rival hop-infused bun with polenta chips,Bin44 Restaurant + Bar,$18.50,2017,,,,,,,,,,Yes,,
Beef Béarnaise,"Angus beef patty with Béarnaise sauce, caramelised onions and rocket in a housemade herb bun, with double-cooked handcut fries (NF).",Boulcott Street Bistro,$24.00,2017,Yes,,,,,,,,,,,
